protein_A,protein_B,interacts
Q93091,P32004,No
P02771,P60520,No
Q7Z3C6,Q8NCC3,No
P68871,P78364,No
P63165,P29074,No
P03950,O95831,No
Q969X0,P49675,No
P14902,P33240,No
O94761,P14635,Yes
Q96E40,O43765,No
P78314,Q9NTX7,Yes
Q7L5D6,O43504,No
P41250,Q8WWI1,No
Q08379,Q9ULU8,No
P19838,O95760,Yes
P09326,P41220,No
Q8IWR0,P00505,No
Q9NWV4,P46531,No
P84090,O75807,No
P22736,P30084,No
Q08345,Q8IX03,Yes
P29692,O14531,No
Q9P289,Q9UNZ2,No
P11021,O95760,No
Q14524,P50402,No
P21741,P55212,No
P04179,Q96FE5,No
Q96KS0,Q99719,No
P47897,P35637,No
P02787,Q15397,No
P18206,P01111,Yes
Q9NPI1,Q13263,Yes
Q9Y237,P60174,No
Q01101,Q9UNI6,No
O94761,Q13330,Yes
Q9BPX5,P47756,Yes
Q9UBT2,Q12906,No
Q9Y2W2,Q9H1I8,No
P05091,P63104,Yes
Q9NP59,Q7LDG7,No
P42773,O15381,No
O00329,Q96L34,No
P38936,O00762,No
Q9UHY7,P17540,No
P68032,Q9HD15,No
Q15262,P02794,No
P10451,Q53FA7,No
Q9Y296,O94761,Yes
P35914,O43240,No
O00151,Q9UM54,Yes
P51114,Q14690,No
P47224,Q13085,No
Q13239,P58340,No
P18848,O75899,No
P63165,Q96B02,Yes
O75807,Q9UNI6,No
Q05516,P61956,No
Q9Y296,P63208,No
Q13838,Q9NS87,No
P46379,P49771,No
Q8NFP7,Q9NYQ6,No
P22314,P04632,Yes
P41250,Q53H47,No
P09326,Q8WXF1,No
P32456,P07108,No
Q9H1J1,O75899,No
P29762,P07108,No
A4D1P6,P22234,No
Q15758,P47756,Yes
Q9NUT2,Q13232,No
O00422,Q9H773,No
P35080,P62308,No
Q04446,O60885,Yes
Q9Y6Y0,Q9Y2M5,Yes
O95166,P11172,No
P13686,O14744,No
P27448,Q99584,No
O00445,Q06830,No
Q9H840,P30519,No
Q8WXF1,P61011,Yes
P09936,P0CG48,Yes
Q14155,P32942,No
P84090,P68400,No
Q9UPT6,Q7Z3C6,No
Q8TEY7,Q9H4M7,No
O15530,O95425,No
Q9UNN5,P51784,Yes
P41567,P16284,No
Q13011,P11166,No
P47985,P09960,Yes
P07814,P31943,No
P49903,O43390,No
P13747,P62979,No
O43924,Q02363,No
P04637,Q99719,No
P49321,P30086,No
P07814,Q14318,No
P02775,O75381,No
Q9P2J2,P43307,No
Q13501,Q9Y6Y0,No
Q9BZI7,P40926,No
O75400,Q9Y265,No
Q9UER7,P25445,Yes
P31689,P34913,No
Q96P48,Q8TF65,No
P29074,Q15046,No
P42773,P61970,No
O43312,Q8N8Q3,No
Q01082,P15090,No
Q13501,Q96HL8,No
P59665,P00533,Yes
P09104,P47929,No
P48443,P14923,No
Q9H4M7,Q9UK61,Yes
P51693,O60701,No
P14866,P30519,No
Q9GZQ8,P16435,No
P28289,O94761,Yes
Q6P1J9,Q13813,No
Q8IWR0,Q9NS87,No
O95704,Q99719,No
Q6IBS0,P35579,Yes
O95696,Q00610,Yes
P14635,P05231,Yes
Q13330,Q9HCU9,Yes
Q9NP72,O95994,Yes
P63000,P59998,Yes
P16403,P54578,Yes
Q9HA47,P24666,No
P22670,Q9BPX5,No
Q86YP4,O15211,No
P18669,P31689,No
Q8TDM6,P26885,No
O43583,Q53H47,No
Q9NWV4,P31994,No
P59998,Q03405,No
Q6PGP7,Q06265,Yes
Q96B36,Q13510,No
P98175,P01909,No
P30153,Q9UQL6,Yes
Q6P1J9,O14717,No
O95639,P22234,No
O14531,Q13309,Yes
P09466,P61289,No
Q96RR1,P24394,No
P21549,Q9UNE7,No
P53602,Q53H47,No
P26641,P05090,No
P14902,P20042,No
Q8IX03,Q9Y2S7,No
O43583,Q96BY9,No
P35998,P61077,No
Q15262,Q9NWZ3,No
P36888,Q13239,Yes
Q9Y233,P07108,No
Q7L5D6,P11142,No
Q9NQW7,Q9H3S7,No
Q9NTK5,O43390,No
Q13951,O95376,Yes
P59665,Q13469,No
Q9NPI1,Q9UK32,No
Q92540,Q9NQW7,No
P63165,O60885,Yes
O75400,P02792,No
P26641,Q9NXU5,No
P63146,O60260,Yes
P49736,Q96EP1,Yes
P07602,Q9NQW7,No
Q8NFP7,P63167,No
P57060,P61289,No
Q13158,P80098,No
P49759,Q9BZ29,Yes
Q08345,P20827,No
P60484,P06400,Yes
P42356,O14777,No
Q9NTM9,Q9NWZ3,No
O75818,P24593,Yes
P16220,P42858,Yes
Q12824,Q9Y2V2,No
P19419,Q13547,Yes
O76061,O95376,No
P14923,Q13200,No
Q9BUR4,O15381,Yes
P04637,Q92540,Yes
P60033,P11142,Yes
P30153,Q15910,No
Q9NP59,P30044,No
Q00613,O94762,No
Q9Y4G2,Q9H095,No
Q14155,Q9Y6Y0,No
Q9HD67,Q8IXH7,No
P20700,O95994,Yes
P11597,Q9BV38,No
P78417,Q13011,Yes
P47224,Q12988,No
Q13501,P08670,Yes
P23528,Q15811,No
P48443,Q16643,No
P61289,P32249,No
Q08495,P60709,Yes
Q9UHY7,Q12929,No
P07858,Q9NZM3,No
P35579,P00505,No
Q96PU5,O00499,Yes
P01023,P11172,No
Q96GM8,Q16539,No
Q6PI98,O43765,No
P46379,Q92540,No
Q9UPY8,Q9UKK9,No
Q99616,P05231,No
Q8NI35,Q9BX70,No
Q99962,Q9NYQ6,No
O60493,Q9UK61,No
Q96BY9,Q8WY91,No
P61026,P62979,No
O95704,P09466,No
P37268,Q9BX70,No
P11169,P51965,No
Q12772,P55212,No
P49419,P20338,No
O75962,Q9BX70,No
P53602,P19367,No
P01023,Q92879,No
P14866,Q9NX09,No
Q13325,Q12906,No
Q13227,Q9P289,No
P60880,Q13085,No
Q96IZ0,Q92575,No
O60884,P31689,Yes
Q8NFP9,P51159,No
Q7L5D6,Q8N2Y8,No
P26358,Q15059,Yes
P05787,P01215,No
P22234,P35637,No
Q9Y6N7,P01909,No
Q13813,Q9P2R6,No
P22392,Q9BPU6,No
P46379,Q9NUT2,No
P47224,P22234,No
Q14194,P55854,No
P63165,Q14240,No
Q13547,Q99873,Yes
Q96IZ0,Q9HD15,No
P05413,P62979,No
P02794,P07737,No
Q14155,Q8N159,No
Q9HCU9,P17480,No
Q9Y2J2,Q13813,Yes
Q16881,P04899,No
P35914,P21695,No
P27694,P24593,No
Q13838,P07437,Yes
Q8IWV7,Q9NP72,No
P31689,Q9Y343,No
Q9H832,P50616,No
Q13574,P80098,No
O60885,Q9UER7,Yes
Q9Y5U2,P00505,No
Q08945,P42568,No
Q16621,Q05193,No
P41250,Q13263,No
P39748,Q9NTM9,No
Q96AP0,Q92540,Yes
P38936,Q9H063,No
P48443,Q96E40,No
Q03013,Q96EP1,No
P01111,P22607,Yes
P54725,P63208,Yes
P34896,Q9H095,No
O75807,Q9UHX1,No
P09960,P11142,No
P02766,Q96KB5,No
Q14181,P06858,No
Q92481,Q8N159,No
P50542,Q9HC16,No
P00918,Q86VP1,No
P23528,P61026,Yes
P26641,Q00610,No
P80098,O15381,No
O94762,P40306,No
Q15262,P05026,No
Q86VK4,P46531,No
Q9NWY4,P60174,No
P22234,Q9NZM3,No
P02766,Q99719,No
Q00536,P35269,Yes
P22392,P26447,No
P06858,P25189,No
P49736,P04156,No
P02771,P55774,No
Q12824,Q9H3H3,No
O43252,P55209,No
P09936,Q96AP0,No
P14902,O14531,No
P49759,P62979,No
Q08345,Q06609,No
P21579,P60880,Yes
Q9NTG7,P50542,Yes
P61289,Q8NE71,No
P09467,P35579,No
P62979,P60520,Yes
Q9BV38,P50914,Yes
O95445,P14555,No
P32456,Q9UPT6,No
P02008,P25445,No
Q96CT7,Q9Y295,Yes
Q01101,P50591,No
P09104,P22061,Yes
Q9ULU8,Q12824,No
Q13459,Q13541,No
P09960,O94953,No
Q13823,P50914,Yes
Q99567,Q13263,Yes
P61221,Q99700,Yes
Q14194,P11021,No
O00499,Q9H1I8,No
Q07666,O75525,Yes
P02794,Q9NPJ4,No
Q01101,O15527,No
O75400,P63104,No
P11021,O14678,No
P22090,P11441,Yes
Q00613,Q16543,Yes
Q6P2Q9,Q9H6L4,Yes
P05090,P54274,No
O60701,P04792,Yes
Q9NVJ2,P37198,No
P56470,O00757,No
P53621,Q8NG27,No
Q9H492,P30084,No
O75251,Q99417,No
P38936,Q93015,No
O43504,Q9NYQ6,No
P53621,O14526,No
P78364,O95571,No
Q9BXR0,Q9UNE7,No
Q96GD4,P11021,Yes
Q12772,P53041,No
P39748,Q00536,No
P14174,P01909,No
P0CG48,P63165,Yes
Q9H4M7,O95639,Yes
Q96E40,Q9UQB8,No
O75569,P60903,No
Q13501,P84077,No
Q13011,Q9H773,No
Q9NPI1,Q8NI27,Yes
Q96RR1,Q8IYT8,No
Q96RR1,P24522,No
P54105,P11172,No
Q99962,P62979,No
Q13574,O15031,No
Q9HCK4,O43390,No
P60880,O95831,No
P27694,Q9H668,Yes
Q04724,O15381,No
Q8NFP7,P26447,No
Q9BSI4,Q9UNE7,Yes
Q9UIF7,P31994,No
P07814,P42568,No
P29692,P08243,No
Q99873,P35609,No
P60033,Q9UNN8,No
Q9UQ90,Q8N159,No
O95251,P08670,Yes
O60234,Q99719,No
P08631,Q9NS87,No
Q06323,Q9NWS0,Yes
P12931,O15197,Yes
Q8IXH7,P42568,Yes
P24394,Q9BPX5,No
Q96BY9,Q8N5F7,No
O75828,P11021,No
Q08495,P12931,No
P02008,P32004,No
Q12840,O00305,No
Q14974,P68400,Yes
Q14790,P35914,No
Q99759,P07437,Yes
O14775,Q96HL8,No
P68104,Q9NZD4,No
P18669,P08758,Yes
P22234,P04792,Yes
O00291,P14555,No
Q15181,Q8NE71,No
Q99081,P37198,No
P47224,Q15907,No
Q92597,P11142,Yes
Q13813,Q13765,No
P30281,P48643,No
P23381,P56192,Yes
P34896,P00742,No
O60671,P50336,No
Q99873,Q8N5F7,No
Q16881,O43292,No
Q7L2H7,Q15181,No
O75525,Q9NX58,No
O94762,P41214,Yes
P68871,O14976,No
Q9H773,Q7Z3C6,No
Q08495,P30519,No
O43312,P56945,No
P18669,O00445,No
Q8TBC3,O95831,No
O60493,P50570,No
P35080,P45984,No
Q05516,Q12809,No
P31689,P22736,No
P27448,O60884,No
P09466,Q96P48,No
P35637,P62995,Yes
P02792,O76071,No
Q9NRC8,Q92879,No
Q9P289,Q99685,No
Q92540,Q99759,No
Q9BVJ7,Q13123,Yes
Q9Y294,P25189,No
P61006,Q9H3S7,No
P35998,Q9Y4P8,No
P08758,Q8IYT8,No
Q86XP3,Q8N8Q3,No
O15530,P16403,No
P15822,O14526,No
Q9UHX1,P14555,No
P09104,O15197,No
P14555,P12931,Yes
Q96GM8,O95445,No
P02768,P42330,Yes
P15822,Q13257,Yes
Q149N8,P12004,Yes
Q9GZQ8,P61006,Yes
Q08345,Q15262,No
P63000,O96013,Yes
P43034,P63104,No
P24941,P18858,Yes
O76071,Q15011,No
Q13547,Q99081,Yes
P54578,O95166,Yes
P48443,P19793,Yes
Q13526,P24666,No
Q96CS7,Q9P287,No
P19256,Q96B36,No
P63279,O60885,Yes
Q9Y483,Q15910,Yes
P55209,P51784,No
Q92993,P24593,No
Q71DI3,Q9BUL5,Yes
Q13547,P61970,No
O15169,Q99081,No
O00151,Q96Q04,No
P55769,P26373,Yes
P08670,P00533,Yes
Q9UIF7,O75319,No
P46087,P61956,Yes
P04179,Q09013,No
P61026,P19367,No
Q14194,Q9UBS3,No
Q14919,P52756,No
Q969X0,Q9UKK9,No
P00966,Q13113,No
P53602,O15211,No
P42773,Q9Y265,No
P07858,P17858,No
Q7L5D6,P50616,No
P63167,O43639,No
Q07666,Q96HS1,No
P26641,O00762,No
Q9UNN5,P63165,Yes
P07602,P60520,Yes
O60885,P78364,Yes
Q9P289,Q8IYB7,No
P11021,P09936,Yes
P54105,Q12988,No
P18848,Q9NYQ6,No
Q7Z3C6,P30084,No
P61026,O95994,No
P08758,P50542,No
P22736,P05109,No
Q9BYC9,Q9H5I1,No
P19256,Q03405,No
O14678,Q92995,No
P78364,Q96AP0,No
P68032,Q8N6T7,No
O00499,P51159,No
P52948,Q13257,Yes
Q00610,P48443,No
P35080,P00491,No
O14802,Q14690,Yes
O96007,O75208,No
P84077,P68104,Yes
P18206,Q8TF65,No
P63167,P07437,Yes
Q01082,Q8TBC4,No
P07900,O95568,Yes
P42773,O00560,No
P21741,P34913,No
Q9HA47,P34913,No
Q99873,Q9H5I1,No
P14091,Q8IXH7,No
P45984,P00533,Yes
Q9NTK5,O95630,No
P62979,P19838,Yes
P11021,P62979,No
Q07666,P35637,Yes
Q8IWV7,P05091,No
P49903,Q9NS87,No
P06865,Q15046,No
P22392,P34913,No
P07814,P55769,Yes
Q9Y295,O95696,Yes
O95704,Q9H3H3,No
P14866,O95425,No
O95704,P60520,No
Q9P298,Q9NY59,No
Q9NTK5,Q99616,No
P46379,O75899,No
P35475,P11021,No
P35080,P30533,No
Q9H3S7,P00533,Yes
P35251,P18858,Yes
O95251,Q9UER7,Yes
O60260,O75936,No
Q9H4M7,Q12824,Yes
P33240,Q6P1J9,Yes
O95273,O75381,No
P30086,P36957,Yes
P43250,Q8WXF1,No
P06493,P53350,Yes
O96007,P50402,No
Q12824,Q92956,No
P52756,P09651,Yes
P11021,P17936,Yes
Q9NRS6,Q15560,No
Q9Y233,O95376,No
P01023,Q13951,No
P13747,P05091,No
Q9Y296,P05091,No
P43235,Q9UKK9,No
Q13239,Q96GD3,No
P47224,P05198,Yes
Q16621,Q969H8,No
O94761,P80098,No
Q13574,P11166,No
P19419,P38936,No
Q8NE71,Q12809,No
Q92993,P19838,Yes
Q96RR1,Q9UK32,No
Q9H1J1,Q53H47,No
P42568,Q9Y4A5,Yes
P84090,P63104,No
P18206,P62979,Yes
P09960,Q9BQ04,No
Q9UKV3,P15090,No
P42773,P29350,No
P51114,Q15388,No
Q16658,P16435,No
Q9UPY8,P54274,No
P60880,P09960,No
Q13526,Q02750,Yes
P63000,Q149N8,No
Q9NXU5,P19367,No
O00445,P51159,No
P54578,P06493,Yes
Q13501,Q15121,No
Q9NZD4,Q9UK32,No
P13497,P24593,No
Q53H47,P07237,No
P05388,Q8TEY7,Yes
Q16643,Q14807,No
P11142,Q15233,No
O75874,P50213,Yes
O60234,P58340,No
P09467,O60701,No
Q7L2H7,P35579,No
O94762,P56192,No
Q01101,Q86YL7,No
Q9H8U3,P27448,No
P16220,Q03013,No
P06858,P02774,No
Q05193,P63165,Yes
Q92879,Q96BY9,No
P11021,Q13438,Yes
Q04724,P52757,No
P40306,Q13148,Yes
P07602,Q8NEV4,No
P61289,P47756,Yes
Q13547,Q00613,Yes
Q9NYY3,Q96EP1,No
O95994,Q92598,Yes
Q15434,P42330,No
Q9Y295,Q9UNQ2,Yes
O75400,P09429,No
O95704,Q6IBS0,No
P61289,Q86YP4,Yes
Q13011,Q9NWS0,Yes
O00273,P62070,No
Q8NG27,Q15910,Yes
O95568,P32249,No
Q13526,P55854,No
Q9H840,O95831,No
Q9P287,P16435,No
P43235,Q7LDG7,No
P35914,Q9Y2V2,No
O75674,O95994,No
Q15233,P22736,No
P63165,Q09472,Yes
P51693,P58340,No
P47756,Q6PGP7,Yes
P49903,P58340,No
O00422,P47756,No
Q96GM8,Q9NYY3,No
P09104,P16284,No
Q8IWR0,Q08945,No
Q14050,P07237,Yes
Q96EP1,Q4VC44,No
P23246,O43809,No
Q8NE71,Q92575,No
P27694,P54274,No
O00267,Q9NSD9,Yes
O60260,O60502,No
P14091,Q12809,No
P21246,P30281,No
O94762,P07305,No
Q15554,Q92598,Yes
Q08345,Q9Y2J2,No
Q53H47,O43292,No
Q99081,Q99719,No
Q9HCU9,Q86YV5,No
Q86VK4,P16152,No
Q9H063,Q99759,No
P02794,Q9H095,No
P24522,P12004,Yes
O43583,Q8WXF1,No
P27448,Q8WXF1,No
P29074,P55774,No
Q9Y2M5,Q7L5N1,Yes
P80098,O60701,No
P01023,Q9Y295,No
Q9Y237,O60333,No
Q86YP4,P46100,Yes
P39748,O14737,No
P09467,Q9UPT6,No
Q99962,P19367,No
Q9GZT6,Q08945,No
P09960,P58340,No
P06858,P51965,No
P04637,P55209,Yes
O75525,Q6IBS0,No
Q7KZ85,P60903,Yes
Q9Y4P8,Q8IVM0,No
P23921,Q99873,Yes
P49736,Q9NRC8,No
Q8WWQ0,P18206,Yes
P78417,P04792,Yes
P41250,Q06323,Yes
Q9Y4W6,P01033,No
O00422,P20827,No
Q13011,Q92956,No
P34896,Q96AE4,No
Q14919,Q13085,No
Q9UNN8,Q09013,No
O75569,Q8N8Q3,No
O95163,Q9UKM9,No
Q99873,P53041,No
P09467,Q8TDM6,No
O75525,Q9H4M7,No
Q15388,Q14318,Yes
P06400,Q13309,Yes
P43034,P52565,No
O94953,P46100,No
P07858,Q02363,No
Q96CD2,Q9NX58,No
O15197,Q99496,No
Q9BXR0,Q15910,No
P23381,O60671,No
P12931,P50570,Yes
P42858,Q09013,No
Q86VP1,P78417,No
P04637,P23921,No
O95639,P00390,No
P09651,O95466,No
Q8TDM6,O15530,No
O00257,Q9H0E2,No
Q8NFP9,P49675,No
P08758,Q14203,No
P39748,Q8NFZ0,No
P05091,Q9GZQ8,No
P16220,P60520,No
P47224,P30153,No
O15530,P61970,No
P43034,P25189,No
Q99584,P16435,No
Q9NTG7,P04156,No
Q9NZD4,P31994,No
P14174,P62820,Yes
Q9UBT2,P30084,No
O75525,Q9P2R6,No
Q96CS7,P11274,No
P15822,P52756,No
O75807,Q92963,No
Q05516,P09467,No
O14907,P53041,No
Q96E40,Q15011,No
P0CG48,P63167,Yes
Q969X0,P21695,No
P07900,Q9HC35,Yes
P53621,P29074,No
P09651,Q14807,No
P14091,O15235,No
P51671,Q9BPU6,No
Q8NEV4,P46100,No
Q9H4M7,P22314,Yes
Q13885,P17480,No
Q07866,P50570,No
P14635,P61088,Yes
P59665,P55316,No
P16403,Q96HS1,No
Q16658,P06746,No
Q9H4T2,P17028,Yes
O95630,P60520,No
O43156,Q9Y4A5,Yes
Q99873,P55209,No
O75569,P00390,No
Q8TDM6,O14737,No
Q9UQ90,P06746,No
Q15434,P05026,No
P54105,P01215,No
P06746,P18858,Yes
O00499,O75208,No
O14744,P49771,No
P07858,Q92598,No
Q9NZD4,P04899,No
Q13257,P24941,Yes
P49458,Q14240,Yes
P14314,Q96EA4,No
Q9UNN5,Q9UHF0,No
P68871,Q08379,No
P04637,P12931,Yes
Q96EP1,O95760,No
P63104,Q02750,Yes
Q15434,Q9UNI6,No
P02794,P02792,Yes
P60174,O95571,Yes
P13497,O60828,No
Q9NTG7,Q9Y2J2,No
Q8IWR0,P25189,No
Q15121,Q96Q04,No
P61956,Q15046,Yes
P21579,Q15907,No
O75398,P00390,No
P14314,Q9UII2,Yes
P14923,Q14050,Yes
Q96BY9,P14555,No
Q9Y2W2,Q9NP72,No
P63165,P40926,No
P14091,O75534,No
P05091,O00757,No
P06858,P29762,No
P0CG48,O43639,Yes
P43235,P00390,No
Q15059,P07305,Yes
O00267,P29692,Yes
P60033,O95445,No
Q8NFP9,P46100,No
Q9UNQ2,O94761,Yes
Q15047,P60484,No
O43924,Q8NFZ0,No
Q9H832,P11274,No
O60671,P39748,No
Q99417,P62136,Yes
P07858,Q09472,No
P39687,Q15011,No
P22061,O95425,Yes
Q14318,Q14919,Yes
Q8WXF1,Q92879,Yes
Q12809,O43292,No
P23246,P26447,No
O76071,P61970,No
P18206,P51965,No
Q9NTM9,Q14697,Yes
P00533,Q15005,No
Q92540,P19256,No
P32456,P47224,No
Q9BZI7,Q13765,No
Q15645,P01909,No
O94762,P05154,No
Q9C026,P47756,No
P04406,Q13085,No
P24534,P01040,No
Q13330,Q15059,Yes
Q9ULU8,P22736,No
Q9UHY7,Q9BY11,No
P54105,Q15758,No
P22234,P55774,No
Q13501,Q13459,No
Q9H832,P01215,No
Q7Z3C6,O95994,No
Q15233,P78560,No
P38936,P31994,No
Q01101,Q8N2I9,No
Q8IX03,P63167,Yes
P63165,P22607,No
P02787,P00390,No
O75525,P54274,No
Q03393,Q93077,No
Q8NFP9,P14555,No
P27694,O75569,No
O75348,P15090,No
P47224,O60315,No
Q15758,P49458,Yes
Q13263,P19367,Yes
Q9UBQ0,P07737,No
Q14203,Q9C0C9,Yes
Q7L5N1,O75899,No
P63167,O95372,No
O14907,Q8NCD3,No
Q7Z3C6,P31994,No
O43809,O14777,Yes
Q96GD4,O43639,No
P29074,P53779,No
Q13330,Q99417,No
Q96G74,P05231,No
O95994,P52788,Yes
P46379,P22736,No
O14733,P31943,Yes
P21246,P24593,No
P07858,O00257,No
Q9C026,Q96KB5,No
Q15843,P62979,Yes
Q99962,O60315,No
P68871,Q9NYQ6,No
P11309,Q9UNE7,No
P05388,P47897,Yes
O75525,P51965,No
Q92993,O14526,No
P36957,Q07866,No
Q9BYC9,Q9UQL6,No
Q00013,P25189,No
P53621,P62861,No
Q9ULU8,P52565,No
P11309,P17936,No
P12956,P62820,No
P51693,P13497,No
P80098,Q12929,No
Q9HA47,O60828,No
P23284,P14314,Yes
Q00610,Q9NTM9,No
P68871,O14531,No
Q9UNE7,Q13200,Yes
Q13107,Q9Y6Y0,No
P27448,Q99250,No
P51693,Q15181,No
O95704,Q9NUT2,No
O15169,Q14524,No
Q9NWS0,Q01082,Yes
O14732,O00305,No
P60903,P49458,Yes
P09104,P49771,No
O00257,Q15011,No
P59998,Q8N2I9,No
O00762,P14555,No
P09960,O75319,No
P09651,P32249,No
Q13523,Q13123,No
P11142,O60885,No
Q9NXU5,Q12824,No
O60260,Q14155,No
Q9H3S7,P04899,No
O00273,P56192,No
P13686,Q149N8,No
P68104,P00533,No
P30153,Q96EA4,No
Q9UKY1,O60671,No
Q9NVJ2,Q93050,Yes
Q96B02,P21127,No
O60671,O14976,No
Q9Y4A5,Q09472,Yes
Q92481,O14717,No
P50914,P54725,Yes
Q9NQW7,Q13765,No
Q9NQW7,P63279,No
Q99962,P0CG48,Yes
Q9NTM9,P78314,No
Q96CD2,P15882,No
P30086,P46531,No
P04632,P11274,No
Q9H492,P49771,No
O00257,P41220,No
O43504,P17540,No
Q9NRC8,Q99567,No
O95251,Q9NPH0,No
P47224,Q9H773,No
Q9HD67,P46531,No
Q86VP1,P04637,Yes
P60709,Q93077,Yes
Q9H4M7,P63104,Yes
P10809,P61956,Yes
P09960,Q6IBS0,No
P18669,P14174,Yes
P68104,Q9UBQ0,No
O60671,Q9BPX5,No
P15822,Q13113,No
O14976,Q13200,No
Q96GM8,O00305,No
Q9Y296,P61289,No
P24534,Q13263,No
Q16827,Q4VC44,No
Q9BYC9,Q9BYD6,Yes
Q6PI98,P42773,No
P55769,Q8IYB7,Yes
P22736,P31994,No
O15235,Q96CT7,Yes
Q13426,Q9NVJ2,No
Q9HC35,Q13257,Yes
O95704,Q15645,No
Q14240,P40926,No
Q9H4M7,Q15022,Yes
Q9UPY8,Q92995,No
P04632,Q149N8,No
Q96GM8,P22736,No
Q92540,O60315,No
P42858,O43240,No
Q9NVJ2,O43809,No
P21246,Q15907,No
P09651,P17936,No
P37268,P01909,No
P68032,Q6IBS0,Yes
Q14155,P50570,No
P22736,Q8WWI1,No
P08243,P53041,No
O75569,P50570,No
P34913,O75381,Yes
P61289,Q969H8,No
P43250,P32249,Yes
P31943,O95989,Yes
P68104,P22392,Yes
P02787,Q13867,No
P09326,Q96KB5,No
Q9NP59,P07237,No
P35080,P55854,No
Q9P287,O60701,No
Q16643,Q8N2Y8,No
P27694,O15530,No
Q9HA47,P22314,No
Q9UIF7,P09211,No
Q9H773,O60493,No
Q9UQF2,P31994,No
O43504,Q6IAA8,Yes
O95568,P02774,No
P04179,P35637,No
P08670,Q9BV38,No
P13497,P32942,No
P29074,Q9BSI4,No
P51693,Q9Y4P8,No
Q13011,P51965,No
Q9UKM9,P50591,No
P04637,P11274,Yes
O95273,P80098,No
P68104,P24522,Yes
P60484,P24666,Yes
Q13885,Q86YP4,No
P22061,P60520,Yes
P18858,P00390,No
P47756,P68104,Yes
P06865,O60543,No
P47756,P35579,Yes
Q8NI35,Q96AE4,No
O60260,Q9NX58,No
O95466,P63000,Yes
P21579,Q9H1D9,No
Q96RR1,O60828,No
Q8NFP9,Q99567,No
P02766,P21741,No
O95630,P00742,No
P02787,Q9UII2,No
O43312,O43765,No
P19793,Q92956,No
O43570,P32249,No
P53350,P05109,No
Q9Y6K8,P49675,No
P51693,P04792,No
P04632,Q96HS1,No
P09467,Q93015,No
P51784,P61956,Yes
P22234,P54274,No
O15169,Q9NRC8,No
Q93015,Q96AE4,No
Q13838,P52756,No
O95251,Q14061,No
Q9NVX7,P30044,No
P42773,P11309,No
P13497,Q08945,No
Q96BY9,Q12929,No
Q9Y6N7,P42568,No
Q9UQF2,P51159,No
O00499,P04792,No
Q14181,P01033,No
P19838,P16403,Yes
O60885,Q9UQB8,Yes
Q13148,Q08945,Yes
Q9GZQ8,Q9NPJ4,No
Q9Y2W2,P30086,No
Q08345,Q08945,No
Q6IAA8,Q9BVJ7,No
O00762,Q13263,No
P61289,Q13232,No
P60520,Q9Y483,No
P34896,P43250,No
Q9UKM9,Q9UNN8,No
Q9Y295,Q2NL82,Yes
Q9GZQ8,Q92598,No
P24534,O95831,No
O95166,P62979,Yes
Q92597,P54105,Yes
Q96EA4,P02768,Yes
Q96AP0,P54274,Yes
Q9UBQ0,Q96RR1,No
P21549,P11166,No
Q9UEU0,Q9UK61,No
O95994,P19367,Yes
P48443,P40926,No
P18206,Q13625,No
Q9H840,P31943,No
P04637,P23246,Yes
Q14919,O15031,No
P47756,Q9BPX5,Yes
O75348,Q15811,No
P16220,Q96G74,No
P10809,Q92598,Yes
P11021,O43390,Yes
P49771,P62861,Yes
Q15544,Q00403,Yes
P08559,O75899,No
O00762,Q9UKM9,No
P62995,P22061,No
Q9H4M7,O14777,Yes
Q9H0H5,P35251,Yes
Q92990,P52565,No
Q15121,P33552,No
P68104,P06576,Yes
Q16539,P06746,No
P31689,P31994,No
Q13330,O75569,No
P60880,O75674,No
P18858,O60921,Yes
O75936,P34913,No
P09104,Q9NPJ4,No
Q9HCU9,O00757,No
Q9NPI1,Q9NZL4,No
P42858,P14618,Yes
P11021,Q86YL7,No
P12956,O95696,No
P42773,Q15910,Yes
Q96B02,P00918,No
O15197,Q96BY9,No
Q9GZQ8,P62820,No
Q92993,P09466,No
Q99963,P78417,No
P35475,O60543,No
O14744,Q12906,No
P32456,Q9BWV1,No
Q92597,P60903,No
Q13332,O00560,No
Q86YP4,Q15388,No
Q13123,Q96EA4,No
O95639,Q9NPH0,No
Q9BYD6,P0CG48,Yes
Q8WWI1,O43390,Yes
P02647,Q9H4M7,No
Q99616,Q13263,No
P12931,P21741,Yes
P55209,P35579,No
Q9NW64,P09651,Yes
O00273,Q9BWV1,No
Q14790,P49448,No
Q13148,Q96EP1,No
P61289,Q12809,No
P55789,Q9NZM3,No
P32456,O14775,No
P04406,P30084,No
Q13332,P15882,No
Q9NTG7,Q9BV38,No
Q8TBC3,O15530,No
P05787,P00505,No
Q13523,P33240,No
P07900,O00499,Yes
P09936,P47756,No
P56470,P43235,No
P18206,P24666,No
P09326,Q13501,Yes
P35475,Q8IVM0,No
P61769,Q9NPJ4,No
Q9BZI7,P16435,No
P04632,P52757,No
Q9Y237,P11166,No
Q9P1W9,P33240,No
P22736,P16403,No
O43390,P05198,Yes
Q96JB3,Q8NFZ0,No
Q93091,P17480,No
Q99616,Q99685,No
Q9Y237,Q9NY59,No
P61769,P02647,Yes
Q13263,P61224,Yes
Q96G74,Q99685,No
Q99873,P22607,No
P02766,Q99873,No
O75828,Q6PD74,No
P51965,O60885,Yes
